# range -128..128
# sum of line must not exceed the range!

# This is Catmull-Rom with 60% Scanlines

# horizontal coefficients
  0, 128,   0,   0
 -4, 127,   5,  -0
 -6, 123,  12,  -1
 -8, 118,  20,  -2
 -9, 111,  29,  -3
 -9, 102,  39,  -4
 -9,  93,  50,  -6
 -9,  83,  61,  -7
 -8,  72,  72,  -8
 -7,  61,  83,  -9
 -6,  50,  93,  -9
 -4,  39, 102,  -9
 -3,  29, 111,  -9
 -2,  20, 118,  -8
 -1,  12, 123,  -6
 -0,   5, 127,  -4

# vertical coefficients
   0, 128,   0,   0
   0, 125,   0,   0
   0, 116,   0,   0
   0, 104,   1,   0
   0,  88,   2,   0
   0,  71,   4,   0
   0,  55,   7,   0
   0,  40,  15,   0
   0,  26,  26,   0
   0,  15,  40,   0
   0,   7,  55,   0
   0,   4,  71,   0
   0,   2,  88,   0
   0,   1, 104,   0
   0,   0, 116,   0
   0,   0, 125,   0
